Month#,Year,Month,Crashes,Fatalities,Hospitalized,PropertyDamageOnly,MedicalTreatment,MinorInjury,Hospitalization,Fatal,SingleVehicle,MultiVehicle,Clear,Raining,Fog,Smoke_Dust
1,2001,January,1574,25,362,594,421,241,294,24,560,929,1425,139,3,0
2,2001,February,1679,17,380,645,444,270,305,15,563,1023,1331,333,3,1
3,2001,March,1880,20,481,640,525,309,387,19,559,1211,1572,288,5,1
4,2001,April,1611,22,361,607,429,265,289,21,489,1022,1425,174,5,4
5,2001,May,1895,30,432,700,527,279,359,30,532,1232,1772,100,14,3
6,2001,June,2003,30,437,782,569,272,353,27,700,1182,1711,263,15,3
7,2001,July,1895,36,464,706,463,314,378,34,568,1206,1739,131,13,5
8,2001,August,1971,22,448,743,550,298,361,19,575,1272,1906,42,4,9
9,2001,September,1815,34,477,659,465,283,379,29,614,1084,1699,91,11,8
10,2001,October,2020,33,510,736,519,348,387,30,684,1232,1689,309,10,7
11,2001,November,1917,28,468,723,535,275,360,24,607,1205,1550,354,4,1
12,2001,December,1759,27,489,619,479,263,374,24,634,1026,1526,218,2,3
13,2002,January,1503,23,354,563,427,210,282,21,523,879,1366,127,0,4
14,2002,February,1696,20,403,595,472,287,325,17,516,1076,1497,189,2,1
15,2002,March,1992,25,468,734,531,322,382,23,644,1249,1719,260,6,2
16,2002,April,1859,24,486,672,482,290,392,23,609,1142,1618,221,9,5
17,2002,May,1989,27,512,779,487,299,398,26,618,1250,1737,231,11,3
18,2002,June,1849,20,473,747,422,287,375,18,583,1138,1607,222,9,1
19,2002,July,1986,27,443,796,517,287,360,26,605,1264,1932,39,6,4
20,2002,August,2143,35,536,856,522,304,430,31,697,1324,1711,405,14,1
21,2002,September,1876,31,495,690,488,287,388,23,612,1167,1783,70,15,3
22,2002,October,1819,37,490,679,471,251,387,31,578,1134,1707,87,3,16
23,2002,November,1811,30,473,674,486,244,382,25,601,1124,1633,173,1,1
24,2002,December,1788,23,467,705,425,266,373,19,661,1025,1592,194,1,0
25,2003,January,1619,21,414,592,418,246,344,19,548,981,1540,74,0,5
26,2003,February,1718,17,353,712,442,256,292,16,604,1036,1029,683,4,0
27,2003,March,1867,23,462,705,459,326,357,20,616,1148,1529,335,1,1
28,2003,April,1750,36,442,671,432,257,356,34,587,1067,1445,295,6,4
29,2003,May,1937,22,498,784,457,286,388,22,558,1278,1603,323,7,2
30,2003,June,1893,37,495,777,440,258,386,32,606,1161,1705,164,16,6
31,2003,July,2000,20,553,770,479,298,434,19,626,1246,1824,155,15,4
32,2003,August,1975,28,522,791,496,251,411,26,635,1229,1781,175,12,4
33,2003,September,1848,25,466,742,460,256,367,23,591,1167,1800,35,7,6
34,2003,October,1946,22,517,734,468,310,413,21,651,1203,1601,335,5,5
35,2003,November,1924,31,582,698,488,263,447,28,656,1168,1808,107,3,6
36,2003,December,1908,28,494,763,445,285,391,24,703,1122,1550,353,3,0
37,2004,January,1796,26,434,727,428,265,351,25,654,1069,1388,397,5,2
38,2004,February,1788,12,497,696,442,249,389,12,550,1148,1550,231,2,3
39,2004,March,2125,30,518,871,516,283,427,28,695,1331,1754,368,2,1
40,2004,April,1857,28,480,780,422,246,384,25,616,1127,1576,268,11,2
41,2004,May,1900,25,480,806,426,257,386,25,629,1186,1790,102,5,2
42,2004,June,1960,22,553,791,452,269,428,20,597,1252,1866,77,10,7
43,2004,July,2041,28,590,792,463,286,474,26,659,1269,1959,69,6,5
44,2004,August,2143,32,551,897,474,294,451,27,709,1343,1966,157,6,12
45,2004,September,1862,21,534,714,431,272,426,19,616,1152,1700,150,4,7
46,2004,October,2043,33,577,822,462,283,445,31,709,1230,1807,217,9,10
47,2004,November,1979,28,504,794,477,261,421,26,719,1178,1706,266,3,1
48,2004,December,1943,26,509,787,473,256,402,25,721,1151,1557,381,3,2
49,2005,January,1688,17,455,682,392,220,378,16,653,966,1353,333,0,2
50,2005,February,1732,21,476,656,429,238,390,19,547,1093,1624,103,3,1
51,2005,March,1912,24,471,727,502,261,399,23,660,1158,1755,152,1,2
52,2005,April,2017,32,563,755,495,281,459,27,706,1212,1669,337,6,4
53,2005,May,1940,21,515,793,439,261,428,19,636,1199,1693,235,8,4
54,2005,June,1966,29,559,807,444,229,461,25,694,1169,1511,440,11,3
55,2005,July,2005,22,549,806,481,265,432,21,655,1254,1829,163,13,0
56,2005,August,2022,42,525,840,455,262,429,36,681,1246,1865,151,4,2
57,2005,September,1820,25,525,743,401,233,420,23,663,1082,1724,73,17,6
58,2005,October,2002,30,548,792,465,274,443,28,725,1182,1666,315,16,2
59,2005,November,2010,30,538,755,502,285,444,24,714,1211,1750,251,4,2
60,2005,December,1960,37,583,790,425,260,450,35,726,1145,1764,191,2,3
61,2006,January,1749,29,476,705,412,226,377,29,712,947,1385,360,2,0
62,2006,February,1780,20,498,715,404,230,412,19,639,1078,1531,243,5,1
63,2006,March,2109,25,560,875,482,267,461,24,741,1257,1655,447,6,0
64,2006,April,1744,26,497,690,404,229,400,21,668,974,1530,204,8,1
65,2006,May,1961,29,549,760,467,261,446,27,632,1226,1853,98,9,1
66,2006,June,1995,27,463,793,481,302,393,26,674,1232,1635,342,16,2
67,2006,July,1895,25,482,707,463,304,398,23,684,1129,1648,220,26,1
68,2006,August,1925,28,467,674,493,344,387,27,634,1203,1778,127,12,8
69,2006,September,1813,32,440,631,509,278,367,28,633,1098,1601,203,4,5
70,2006,October,1861,29,464,637,488,311,396,29,637,1116,1770,81,4,6
71,2006,November,1814,30,502,597,466,308,415,28,641,1088,1644,161,5,4
72,2006,December,1808,35,487,622,453,300,401,32,692,1033,1511,289,3,5
73,2007,January,1544,21,441,513,418,233,361,19,528,956,1349,190,2,3
74,2007,February,1670,36,451,586,404,277,371,32,575,1026,1333,334,3,0
75,2007,March,1986,30,495,704,496,334,423,29,705,1184,1805,178,2,1
76,2007,April,1756,25,490,587,449,270,426,24,669,1008,1666,82,3,4
77,2007,May,1994,41,496,688,510,337,421,38,683,1196,1755,220,17,2
78,2007,June,1950,34,541,720,411,349,441,29,677,1174,1522,420,5,3
79,2007,July,2103,29,554,759,516,339,460,29,678,1312,2053,37,9,3
80,2007,August,2100,37,551,776,463,384,442,35,758,1254,1678,397,21,4
81,2007,September,1976,31,485,722,473,352,399,30,683,1202,1756,208,11,1
82,2007,October,1942,23,517,689,478,319,434,22,689,1157,1768,164,8,2
83,2007,November,2005,28,519,728,477,336,437,27,734,1175,1694,294,11,6
84,2007,December,1822,25,515,664,438,280,416,24,760,987,1473,343,3,3
85,2008,January,1774,28,512,661,406,276,408,23,667,1039,1258,504,10,1
86,2008,February,1868,24,500,709,475,254,410,20,659,1125,1362,499,7,0
